track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,duration_ms_log,duration_ms_scaled,loudness_clipped,loudness_scaled,tempo_clipped,tempo_scaled,danceability_scaled,energy_scaled,valence_scaled,speechiness_log,speechiness_scaled,acousticness_scaled,liveness_scaled,instrumentalness_binary,key_sin,key_cos,mode_scaled,time_signature_orig,time_signature_1,time_signature_3,time_signature_4,time_signature_5
0lOk1COnPBSFGzg1Gt5IBa,Ella Fitzgerald,A Very 60s Christmas,Rudolph The Red-Nosed Reindeer,0,171773,0,0.596,0.315,8,-9.175,1,0.0428,0.961,0.0,0.258,0.64,119.935,4,blues,12.053934938313418,-0.5385269870778188,-9.175,-0.2387176649091603,119.935,-0.11177852888056077,0.19387109387859108,-1.3284383505917576,0.6477569240555384,0.04190940307720961,-0.4334182716968868,0.964859437751004,0.24672376431740792,0,-0.8660254037844385,-0.5000000000000004,0.7507857519179617,4,False,False,True,False
6yd2M373yAtIg6g7wqLSlT,Dune,Happy Hardcore Top 100,Hardcore Vibes - South Bound Mix Cut,30,291213,0,0.588,0.69,4,-8.72,0,0.0396,0.014,0.2,0.0729,0.436,163.778,4,hardcore,12.581813671072087,0.8416247278523116,-8.72,-0.14190007180956773,163.778,1.3725410358758727,0.14875083157392668,0.1712983288313526,-0.12700586983684664,0.03883602378519814,-0.47119770559754187,0.014056224899598395,0.05572180373542464,0,0.8660254037844387,-0.4999999999999998,-1.331937902984166,4,False,False,True,False
0ii5SK9VQVFB8CU3WI5Syr,TIMBALIVE,From Miami a La Habana,Enredado en Tu Pelo - Timbalive Version,28,319360,0,0.782,0.88,9,-6.34,1,0.0472,0.592,0.0,0.205,0.899,98.003,4,salsa,12.674077403362858,1.082850487567048,-6.34,0.36453041517291646,98.003,-0.8542937923031849,1.242917192462038,0.9311649130723956,1.6314018437522428,0.04611993561355312,-0.38166041152752334,0.5943775100401606,0.19203384583634298,0,-1.0,-1.8369701987210297e-16,0.7507857519179617,4,False,False,True,False
6DkWvMJZjYQdeat4itVt97,White Noise for Babies,Sea of White Noise,Moons,0,187464,0,0.179,0.145,2,-16.26,1,0.0433,0.00239,0.85,0.1,0.0381,76.705,5,sleep,12.141347440301546,-0.30998488632908006,-16.26,-1.7463059003171013,76.705,-1.57534477171113,-2.1580225787520386,-2.008318978596901,-1.6381731036102778,0.04238876649178662,-0.42752570956422803,0.0023995983935742975,0.08368589412857291,1,0.8660254037844386,0.5000000000000001,0.7507857519179617,5,False,False,False,True
144Yxmjq9xQZjJx1QegH1N,Lasse Stefanz,Greatest Hits,Felicita,37,210093,0,0.636,0.871,7,-6.47,1,0.0312,0.169,0.0,0.202,0.939,107.798,4,swedish,12.255310328595705,-0.012026158392447913,-6.47,0.33686824571589,107.798,-0.5226807608776604,0.4194724054019131,0.8951712327662409,1.783316117064475,0.03072317264284058,-0.5709247143254341,0.16967871485943778,0.18893819007326387,0,-0.4999999999999997,-0.8660254037844388,0.7507857519179617,4,False,False,True,False
3DWNcWoQ2LLqgPYEDaCwkG,Z.Z. Hill,The Rhythm and the Blues,Someone Else Is Steppin' In,34,219693,0,0.786,0.721,10,-6.94,1,0.0625,0.235,0.00087,0.12,0.891,130.802,3,blues,12.29999094803164,0.10479240184085133,-6.94,0.2368588638327943,130.802,0.256127424412055,1.2654773236143702,0.2952765609969965,1.6010189890897963,0.06062462181643484,-0.20336193887370674,0.2359437751004016,0.10432359921576721,0,-0.8660254037844386,0.5000000000000001,0.7507857519179617,3,False,True,False,False
0hlh787aY52rcNvJHnE0Ml,Mike NRG;Weapon X,Lost in Dreams (Q-Base OST 2008),Lost In Dreams - Weapon X Remix,23,296360,0,0.547,0.867,6,-5.04,1,0.0326,0.0546,0.489,0.0735,0.253,163.002,4,hardstyle,12.599333584799432,0.887430966057549,-5.04,0.6411521097431808,163.002,1.346269293927307,-0.08249051273747776,0.879174041519061,-0.8220136702403096,0.03207989346341168,-0.5542472594159029,0.05481927710843374,0.056340934888040456,0,1.2246467991473532e-16,-1.0,0.7507857519179617,4,False,False,True,False
1QsILO369FaBdl6V9YNFGl,Fetty Wap,Fetty Wap (Deluxe),D.A.M.,51,225866,1,0.697,0.676,7,-3.51,0,0.0395,0.00752,0.0,0.0898,0.372,136.01,4,j-dance,12.327701609447713,0.17724259636824805,-3.51,0.966714565660492,136.01,0.43244602243799996,0.7635144054749786,0.11530815946622354,-0.37006870713641843,0.038739828315930556,-0.4723801858667958,0.007550200803212851,0.07316066453410382,0,-0.4999999999999997,-0.8660254037844388,-1.331937902984166,4,False,False,True,False
1qZMPmpD1jDcOA7gZ6TCde,Swedish House Mafia;Pharrell Williams,One (Your Name),One (Your Name) - Radio Edit,65,163246,0,0.733,0.673,9,-6.572,0,0.0333,0.0132,0.0049,0.16,0.636,125.061,4,progressive-house,12.003019670247006,-0.6716461869568391,-6.572,0.3151640819880692,125.061,0.061763931465252414,0.9665555858459685,0.10331026603083865,0.6325654967243152,0.032757564238172186,-0.5459170092876429,0.013253012048192772,0.14559900939015583,0,-1.0,-1.8369701987210297e-16,-1.331937902984166,4,False,False,True,False
5L7EcEdJAZ3TEpWEfsOMLD,Yellow Claw;Yade Lauren,Los Amsterdam,Love & War,49,180150,0,0.577,0.911,1,-4.449,1,0.0512,0.0186,0.0587,0.159,0.543,160.036,4,electronic,12.101550667090613,-0.4140345124784715,-4.449,0.766908587813201,160.036,1.2458543627166783,0.08671047090501313,1.0551431452380395,0.27936481127337504,0.04993236874820901,-0.33479617775534437,0.018674698795180723,0.1445671241357961,0,0.49999999999999994,0.8660254037844387,0.7507857519179617,4,False,False,True,False
